"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 17:38:26 GMT 2024","Sat Mar 09 17:38:29 GMT 2024","2742","webkit","demo-todo-app1.spec.js","Editing","","","should save edits on blur",""
"passed","Sat Mar 09 17:37:57 GMT 2024","Sat Mar 09 17:37:59 GMT 2024","1861","chromium","demo-todo-app1.spec.js","New Todo","","","should append new items to the bottom of the list",""
"passed","Sat Mar 09 17:38:31 GMT 2024","Sat Mar 09 17:38:33 GMT 2024","2723","webkit","demo-todo-app1.spec.js","Routing","","","should allow me to display completed items",""
"passed","Sat Mar 09 17:38:25 GMT 2024","Sat Mar 09 17:38:28 GMT 2024","3090","webkit","demo-todo-app1.spec.js","Item","","","should allow me to mark items as complete",""
"passed","Sat Mar 09 17:38:19 GMT 2024","Sat Mar 09 17:38:26 GMT 2024","6925","webkit","demo-todo-app1.spec.js","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Sat Mar 09 17:38:09 GMT 2024","Sat Mar 09 17:38:12 GMT 2024","2254","firefox","demo-todo-app1.spec.js","Editing","","","should hide other controls when editing",""
"passed","Sat Mar 09 17:38:01 GMT 2024","Sat Mar 09 17:38:02 GMT 2024","990","chromium","demo-todo-app1.spec.js","Routing","","","should allow me to display all items",""
"passed","Sat Mar 09 17:38:00 GMT 2024","Sat Mar 09 17:38:01 GMT 2024","942","chromium","demo-todo-app1.spec.js","Editing","","","should cancel edits on escape",""
"passed","Sat Mar 09 17:38:29 GMT 2024","Sat Mar 09 17:38:32 GMT 2024","2853","webkit","demo-todo-app1.spec.js","Clear completed button","","","should remove completed items when clicked",""
"passed","Sat Mar 09 17:38:12 GMT 2024","Sat Mar 09 17:38:14 GMT 2024","2454","firefox","demo-todo-app1.spec.js","Clear completed button","","","should remove completed items when clicked",""
"passed","Sat Mar 09 17:38:00 GMT 2024","Sat Mar 09 17:38:01 GMT 2024","1120","chromium","demo-todo-app1.spec.js","Editing","","","should remove the item if an empty text string was entered",""
"passed","Sat Mar 09 17:38:03 GMT 2024","Sat Mar 09 17:38:09 GMT 2024","6328","firefox","demo-todo-app1.spec.js","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Sat Mar 09 17:38:03 GMT 2024","Sat Mar 09 17:38:09 GMT 2024","6109","firefox","demo-todo-app1.spec.js","New Todo","","","should clear text input field when an item is added",""
"passed","Sat Mar 09 17:38:19 GMT 2024","Sat Mar 09 17:38:27 GMT 2024","7197","webkit","demo-todo-app1.spec.js","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sat Mar 09 17:38:28 GMT 2024","Sat Mar 09 17:38:30 GMT 2024","2482","webkit","demo-todo-app1.spec.js","Editing","","","should cancel edits on escape",""
"passed","Sat Mar 09 17:38:01 GMT 2024","Sat Mar 09 17:38:02 GMT 2024","873","chromium","demo-todo-app1.spec.js","Routing","","","should allow me to display completed items",""
"passed","Sat Mar 09 17:38:01 GMT 2024","Sat Mar 09 17:38:02 GMT 2024","972","chromium","demo-todo-app1.spec.js","Routing","","","should respect the back button",""
"passed","Sat Mar 09 17:38:30 GMT 2024","Sat Mar 09 17:38:33 GMT 2024","2712","webkit","demo-todo-app1.spec.js","Routing","","","should allow me to display active items",""
"passed","Sat Mar 09 17:38:32 GMT 2024","Sat Mar 09 17:38:34 GMT 2024","1855","webkit","demo-todo-app1.spec.js","Routing","","","should highlight the currently applied filter",""
"passed","Sat Mar 09 17:37:57 GMT 2024","Sat Mar 09 17:37:59 GMT 2024","1878","chromium","demo-todo-app1.spec.js","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Sat Mar 09 17:38:10 GMT 2024","Sat Mar 09 17:38:12 GMT 2024","2268","firefox","demo-todo-app1.spec.js","Editing","","","should save edits on blur",""
"passed","Sat Mar 09 17:38:14 GMT 2024","Sat Mar 09 17:38:16 GMT 2024","2514","firefox","demo-todo-app1.spec.js","Routing","","","should allow me to display completed items",""
"passed","Sat Mar 09 17:38:31 GMT 2024","Sat Mar 09 17:38:33 GMT 2024","2743","webkit","demo-todo-app1.spec.js","Routing","","","should respect the back button",""
"passed","Sat Mar 09 17:38:25 GMT 2024","Sat Mar 09 17:38:28 GMT 2024","2355","webkit","demo-todo-app1.spec.js","Item","","","should allow me to edit an item",""
"passed","Sat Mar 09 17:38:26 GMT 2024","Sat Mar 09 17:38:28 GMT 2024","2508","webkit","demo-todo-app1.spec.js","Editing","","","should hide other controls when editing",""
"passed","Sat Mar 09 17:37:59 GMT 2024","Sat Mar 09 17:38:00 GMT 2024","874","chromium","demo-todo-app1.spec.js","Editing","","","should trim entered text",""
"passed","Sat Mar 09 17:37:57 GMT 2024","Sat Mar 09 17:37:59 GMT 2024","2119","chromium","demo-todo-app1.spec.js","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sat Mar 09 17:38:09 GMT 2024","Sat Mar 09 17:38:11 GMT 2024","2185","firefox","demo-todo-app1.spec.js","Item","","","should allow me to un-mark items as complete",""
"passed","Sat Mar 09 17:38:09 GMT 2024","Sat Mar 09 17:38:12 GMT 2024","2285","firefox","demo-todo-app1.spec.js","Item","","","should allow me to edit an item",""
"passed","Sat Mar 09 17:38:19 GMT 2024","Sat Mar 09 17:38:25 GMT 2024","6048","webkit","demo-todo-app1.spec.js","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Sat Mar 09 17:38:03 GMT 2024","Sat Mar 09 17:38:10 GMT 2024","7156","firefox","demo-todo-app1.spec.js","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sat Mar 09 17:37:59 GMT 2024","Sat Mar 09 17:38:00 GMT 2024","920","chromium","demo-todo-app1.spec.js","Item","","","should allow me to un-mark items as complete",""
"passed","Sat Mar 09 17:38:27 GMT 2024","Sat Mar 09 17:38:30 GMT 2024","3111","webkit","demo-todo-app1.spec.js","Editing","","","should trim entered text",""
"passed","Sat Mar 09 17:38:30 GMT 2024","Sat Mar 09 17:38:32 GMT 2024","2713","webkit","demo-todo-app1.spec.js","Clear completed button","","","should be hidden when there are no items that are completed",""
